Date,Username,Tweet,Cleaned_Tweet,Sentiment
2024-06-01,user1,Charging stations in Noida are so slow 😡,charging stations noida slow,Negative
2024-06-02,user2,"Wow, the new EV station at CP is amazing! ⚡",new ev station cp amazing,Positive
2024-06-03,user3,Waiting for 30 mins to get a charger is painful.,waiting get charger painful,Negative
2024-06-04,user4,Fast charger installed at IGI Airport — awesome work!,fast charger installed igi airport awesome work,Positive
2024-06-05,user5,No power again at the Gurgaon EV hub 😠,no power gurgaon ev hub,Negative
2024-06-06,user6,EV charging experience is getting better in Delhi!,ev charging experience getting better delhi,Positive
2024-06-07,user7,Still no charging station in Saket mall?,still no charging station saket mall,Negative
2024-06-08,user8,Love how fast the new EV chargers are 🔋,love fast new ev chargers,Positive
2024-06-09,user9,Another broken charger at Noida Sec 62...,another broken charger noida sec,Negative
2024-06-10,user10,Charging station in Dwarka is working flawlessly.,charging station dwarka working flawlessly,Positive
2024-06-11,user11,Too many people at the charging point again!,many people charging point again,Negative
2024-06-12,user12,Pleased with the new RFID-based system at CP 👍,pleased new rfid based system cp,Positive
2024-06-13,user13,Tired of finding non-functional chargers,tired finding non functional chargers,Negative
2024-06-14,user14,No complaints today. Fast charge in 15 mins 💪,no complaints today fast charge mins,Positive
2024-06-15,user15,Support staff at Vasant Kunj was very helpful!,support staff vasant kunj helpful,Positive
2024-06-16,user16,"EV app shows charger, but it's not working 😤",ev app shows charger not working,Negative
2024-06-17,user17,Finally! A fast charger near Mayur Vihar!,finally fast charger near mayur vihar,Positive
2024-06-18,user18,Still need more coverage in East Delhi.,still need more coverage east delhi,Neutral
2024-06-19,user19,Awesome setup at the new South Ex station 👌,awesome setup new south ex station,Positive
2024-06-20,user20,Gurgaon station was offline today. Again!,gurgaon station offline today again,Negative
